id,observed_on_string,observed_on,time_observed_at,time_zone,user_id,user_login,user_name,created_at,updated_at,quality_grade,license,url,image_url,sound_url,tag_list,description,num_identification_agreements,num_identification_disagreements,captive_cultivated,oauth_application_id,place_guess,latitude,longitude,positional_accuracy,private_place_guess,private_latitude,private_longitude,public_positional_accuracy,geoprivacy,taxon_geoprivacy,coordinates_obscured,positioning_method,positioning_device,species_guess,scientific_name,common_name,iconic_taxon_name,taxon_id
1728473,2014-12-24,2014-12-24,,Wellington,98801,tony_steer,Tony Steer,2015-07-06 08:11:33 UTC,2024-10-26 12:51:20 UTC,research,CC-BY-SA,http://www.inaturalist.org/observations/1728473,,,"",Kiwi calling ,2,0,false,,Mahakirau Forest Estate - Intersection of Lot 16 & 14 Driveways,-36.858334,175.547791,356,,,,356,,open,false,,,North Island Brown Kiwi,Apteryx mantelli,North Island Brown Kiwi,Aves,20496
9281776,2017-12-26,2017-12-26,,Auckland,740649,caribetarawa,Caribe Tarawa,2017-12-28 09:15:06 UTC,2024-07-30 02:44:45 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/9281776,https://inaturalist-open-data.s3.amazonaws.com/photos/12579629/medium.jpg,https://static.inaturalist.org/sounds/16800.mp3?1514452506,"",Saw two nights in a row. Heard multiple occasions between 10pm and 3am. Male. Potentially more than one. We recorded his call as he responded to audio recording  of female call. Took photo (bit blurry but lucky to get),2,0,false,,Waitaia Lodge,-37.869807,176.047567,26,,,,26,,open,false,,,North Island Brown Kiwi,Apteryx mantelli,North Island Brown Kiwi,Aves,20496
21269853,2019/02/12 9:30 PM +13,2019-02-12,2019-02-12 08:30:00 UTC,Nuku'alofa,6971,silversea_starsong,James Bailey,2019-03-15 22:49:13 UTC,2024-07-28 14:40:21 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/21269853,,https://static.inaturalist.org/sounds/32398.m4a?1552690153,"","",2,0,false,,"Te Tii 0294, New Zealand",-35.16864,174.087263,,,,,,,open,false,,,North Island Brown Kiwi,Apteryx mantelli,North Island Brown Kiwi,Aves,20496
25866750,2019-05-27 7:06:19 PM GMT+12:00,2019-05-27,2019-05-27 07:06:19 UTC,Auckland,6690,sandboa,Chris Harrison,2019-05-27 10:43:47 UTC,2024-10-27 13:28:18 UTC,research,CC-BY,https://www.inaturalist.org/observations/25866750,https://inaturalist-open-data.s3.amazonaws.com/photos/40299536/medium.jpg,https://static.inaturalist.org/sounds/40459.mp3?1559556393,"","This is just a photo of one of the 15 Kiwis we saw on this walk after listening for their calls at a kiwi monitoring station.
Photographed using a red LED and my phone's night photo mode.  Second photo edited with color removed.

Call is a edited for wind noise and the first few calls of the series were cut out (too much noise).",1,0,false,2,"Auckland, NZ",-36.2730589479,174.8588700186,4,,,,28563,obscured,open,true,,,North Island Brown Kiwi,Apteryx mantelli,North Island Brown Kiwi,Aves,20496
33343460,2019/09/06 07:20 PM NZST,2019-09-06,2019-09-06 07:20:00 UTC,Auckland,690906,mad_wild,Madara Vilde,2019-09-24 23:33:27 UTC,2024-08-04 15:18:10 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/33343460,,https://static.inaturalist.org/sounds/47544.mp3?1569367445,"",North Island brown kiwi (Apteryx mantelli) - At Risk/Declining -  Male (first recording) and female (second recording response) calling in the distance at the Brynderywns Hills Complex near Tanekaha Track ,2,0,false,,"Mangawhai, New Zealand",-36.0739680068,174.528819216,15,,,,15,,open,false,,,North Island Brown Kiwi,Apteryx mantelli,North Island Brown Kiwi,Aves,20496
39997997,2019/11/13 7:45 PM EST,2019-11-13,2019-11-14 00:45:00 UTC,Eastern Time (US & Canada),9432,ashley_bradford,Ashley M Bradford,2020-03-14 23:47:31 UTC,2024-08-11 02:02:10 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/39997997,,https://static.inaturalist.org/sounds/61662.wav?1584229531,audio,"Seen and heard on a night walk led by Ness, found on AirBnB - I would recommend this walk!
https://www.airbnb.com/experiences/546229",2,0,false,,"Tawharanui Peninsula 0986, New Zealand",-36.3715674111,174.8383072766,15,,,,15,,open,false,,,North Island Brown Kiwi,Apteryx mantelli,North Island Brown Kiwi,Aves,20496
41875450,2020-04-10,2020-04-10,,Auckland,1052599,foodforestnz,FoodForestNZ,2020-04-11 01:51:10 UTC,2024-07-30 02:14:43 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/41875450,https://inaturalist-open-data.s3.amazonaws.com/photos/66448641/medium.jpg,https://static.inaturalist.org/sounds/69019.mp3?1586572240,"","Two together-a large adult and a much smaller juvenile (photo). The photo is a still from a video using a small red light. I encountered them close to the house on a small track in Kanuka bush. The young one was making this intermittent sound while the adult was silent.  I’d heard one call (male call), and I'm assuming it was the adult. They almost walked into me, and the juvenile seemed to be sniffing me as a stood motionless above him.",2,0,false,3,North Pacific Ocean,-35.152965,174.062974,866,,,,866,,open,false,,,North Island Brown Kiwi,Apteryx mantelli,North Island Brown Kiwi,Aves,20496
66413404,2020/12/11 11:32 PM NZDT,2020-12-11,2020-12-11 10:32:00 UTC,Auckland,165659,simonnicholas,Simon Nicholas,2020-12-11 10:33:17 UTC,2024-07-27 23:02:17 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/66413404,,https://static.inaturalist.org/sounds/153290.m4a?1607682761,"",,1,0,false,,"South Taranaki District, Taranaki, New Zealand",-39.4545365751,174.411875632,31,,,,31,,open,false,,,North Island Brown Kiwi,Apteryx mantelli,North Island Brown Kiwi,Aves,20496
69494291,2019/02/13 9:54 PM NZDT,2019-02-13,2019-02-13 08:54:00 UTC,Auckland,59262,linds-nz,Lindsay Alexander,2021-02-13 08:57:57 UTC,2024-07-28 00:22:43 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/69494291,,https://static.inaturalist.org/sounds/163900.mp3?1613206525,"",Recorded with a DoC AR4 recorder. The female was very close to the mike?,3,0,false,,Russell Forest New Zealand,-35.3060213459,174.2533813717,122,,,,122,,open,false,,,North Island Brown Kiwi,Apteryx mantelli,North Island Brown Kiwi,Aves,20496
71478526,2021-03-18 11:15:00 PM GMT+13:00,2021-03-18,2021-03-18 10:15:00 UTC,Nuku'alofa,2129081,katjenkins,Kat Jenkins,2021-03-18 10:33:13 UTC,2024-10-25 13:41:31 UTC,research,CC0,https://www.inaturalist.org/observations/71478526,,https://static.inaturalist.org/sounds/173722.wav?1616063609,"","Sorry for audio quality, call begins immediately. Possibly two individuals? Recorded at night",2,0,false,2,"Far North, NZ-NO, NZ",-35.0139021228,173.9784457015,8,,,,28734,obscured,open,true,gps,gps,North Island Brown Kiwi,Apteryx mantelli,North Island Brown Kiwi,Aves,20496
