id,observed_on_string,observed_on,time_observed_at,time_zone,user_id,user_login,user_name,created_at,updated_at,quality_grade,license,url,image_url,sound_url,tag_list,description,num_identification_agreements,num_identification_disagreements,captive_cultivated,oauth_application_id,place_guess,latitude,longitude,positional_accuracy,private_place_guess,private_latitude,private_longitude,public_positional_accuracy,geoprivacy,taxon_geoprivacy,coordinates_obscured,positioning_method,positioning_device,species_guess,scientific_name,common_name,iconic_taxon_name,taxon_id
1147870,2014-12-13,2014-12-13,,Auckland,58950,gigacat,Gavin Kingsley,2014-12-27 17:36:09 UTC,2024-07-30 01:33:57 UTC,research,CC-BY-NC,http://naturewatch.org.nz/observations/1147870,,https://static.inaturalist.org/sounds/2074.m4a?1502826958,"",Heard at least two Morepork calling in the night. They seemed to be responding to each others calls.,2,0,false,,Ashley Gorge Holiday Park,-43.228542,172.226825,,,,,,,open,false,,,Morepork,Ninox novaeseelandiae novaeseelandiae,Ruru (Morepork),Aves,413503
1299600,2013-01-13,2013-01-13,,Auckland,6690,sandboa,Chris Harrison,2015-03-17 22:33:07 UTC,2024-09-23 16:19:19 UTC,research,CC-BY,http://www.inaturalist.org/observations/1299600,,https://static.inaturalist.org/sounds/28396.mp3?1545092093,"","These two Moreporks were sitting in a tree in a residential front yard. They were making this continual ""pork, pork, pork"" sound interspersed with a the nasal ""meeuw"" sound.",1,0,false,,"Sandspit, Warkworth, New Zealand",-36.400318,174.733021,106,,,,106,,open,false,,,Morepork,Ninox novaeseelandiae novaeseelandiae,Ruru (Morepork),Aves,413503
1754601,2015-07-02,2015-07-02,,Wellington,44579,angelasimpson,Angela Simpson,2015-07-14 06:39:43 UTC,2024-08-11 03:38:10 UTC,research,,http://naturewatch.org.nz/observations/1754601,,https://static.inaturalist.org/sounds/3710.wav?1502845062,"morepork, tamahere",sound recording of a morepork at Tamahere Reserve at night. Two birds were heard over the night.,3,0,false,,tamahere,-37.827175,175.362107,52,,,,52,,open,false,,,Morepork,Ninox novaeseelandiae novaeseelandiae,Ruru (Morepork),Aves,413503
2004836,2015-09-27 7:03pm,2015-09-27,2015-09-27 06:03:00 UTC,Auckland,59232,joe__judd,Joe Judd,2015-09-27 11:35:53 UTC,2024-10-25 14:28:31 UTC,research,,http://www.inaturalist.org/observations/2004836,,https://static.inaturalist.org/sounds/4048.mp3?1502855095,"","Morepork - Ruru Distress call. Anderson Track, Ark in the Park, Waitakere Ranges.",1,0,false,,waitakere ranges,-36.888207,174.543571,,,,,,,open,false,,,Morepork,Ninox novaeseelandiae novaeseelandiae,Ruru (Morepork),Aves,413503
4948756,2017-01-16T00:48:05+13:00,2017-01-16,2017-01-15 11:48:05 UTC,Auckland,34560,craigwilson10,craig wilson,2017-01-15 11:50:37 UTC,2024-08-09 08:58:06 UTC,research,CC-BY-NC-SA,https://www.inaturalist.org/observations/4948756,,https://static.inaturalist.org/sounds/9270.mp3?1502908352,"",Two Morepork - Ruru - in the distance.  (Ninox novaeseelandiae),2,0,false,,"Waitati, Dunedin, New Zealand",-45.746755,170.569116,1403,,,,1403,,open,false,,manual,Morepork,Ninox novaeseelandiae novaeseelandiae,Ruru (Morepork),Aves,413503
5053264,2017-02-03,2017-02-03,,Auckland,34560,craigwilson10,craig wilson,2017-02-04 22:24:36 UTC,2024-08-09 07:18:58 UTC,research,CC-BY-NC-SA,https://www.inaturalist.org/observations/5053264,,https://static.inaturalist.org/sounds/9504.mp3?1502909568,"","",1,0,false,,"Waitati, Dunedin, New Zealand",-45.760649,170.575296,867,,,,867,,open,false,,manual,Morepork,Ninox novaeseelandiae novaeseelandiae,Ruru (Morepork),Aves,413503
6378396,2015/03/22 2:32 PM NZDT,2015-03-22,2015-03-22 01:32:00 UTC,Wellington,135242,pgtips91,Paul Taylor,2017-05-27 09:40:26 UTC,2024-10-26 12:49:15 UTC,research,CC-BY-NC,http://naturewatch.org.nz/observations/6378396,https://inaturalist-open-data.s3.amazonaws.com/photos/8050575/medium.jpeg,https://static.inaturalist.org/sounds/12454.mp3?1502936337,"","Morepork, disturbed by house cat from its sleep in the daytime, watches from a nearby tree to which it flew when disturbed.
",2,0,false,,"Rodney, NZ-AU, NZ",-36.6512787,174.4993633,10,,,,10,,open,false,,,Morepork,Ninox novaeseelandiae novaeseelandiae,Ruru (Morepork),Aves,413503
6491468,2017-06-04T20:42:21+12:00,2017-06-04,2017-06-04 08:42:21 UTC,Wellington,496738,ayamccabre,Aya,2017-06-04 08:46:00 UTC,2024-08-05 19:44:56 UTC,research,CC-BY-NC-SA,https://www.inaturalist.org/observations/6491468,,,"","Recorded ""sighting"" of a Morepork",1,0,false,,"Wellington, NZ-WG, NZ",-41.289584,174.754259,15,,,,15,,open,false,,manual,Morepork,Ninox novaeseelandiae novaeseelandiae,Ruru (Morepork),Aves,413503
6715536,2017-06-19T22:49:56+12:00,2017-06-19,2017-06-19 10:49:56 UTC,Wellington,496738,ayamccabre,Aya,2017-06-19 10:52:02 UTC,2024-07-29 14:47:30 UTC,research,CC-BY-NC-SA,http://naturewatch.org.nz/observations/6715536,,,"",Two morepork calling back and forth,2,0,false,,New Zealand,-41.28935,174.754216,1036653,,,,1036653,,open,false,,manual,Morepork,Ninox novaeseelandiae novaeseelandiae,Ruru (Morepork),Aves,413503
6807997,2017/05/27 11:25 PM NZST,2017-05-27,2017-05-27 11:25:00 UTC,Wellington,135242,pgtips91,Paul Taylor,2017-06-26 14:34:44 UTC,2024-08-10 17:29:42 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/6807997,https://inaturalist-open-data.s3.amazonaws.com/photos/8662619/medium.jpeg,https://static.inaturalist.org/sounds/13345.mp3?1502942583,"","Bird-calls in the middle of the night. I think they are Morepork calls but differ from the usual pattern of intermittent calls echoed back by the mate, these are almost continuous calls with responses.",1,0,false,,"Helensville, New Zealand",-36.6519155,174.4995725,30,,,,30,,open,false,,,Morepork,Ninox novaeseelandiae novaeseelandiae,Ruru (Morepork),Aves,413503
