id,observed_on_string,observed_on,time_observed_at,time_zone,user_id,user_login,user_name,created_at,updated_at,quality_grade,license,url,image_url,sound_url,tag_list,description,num_identification_agreements,num_identification_disagreements,captive_cultivated,oauth_application_id,place_guess,latitude,longitude,positional_accuracy,private_place_guess,private_latitude,private_longitude,public_positional_accuracy,geoprivacy,taxon_geoprivacy,coordinates_obscured,positioning_method,positioning_device,species_guess,scientific_name,common_name,iconic_taxon_name,taxon_id
6639204,2017-06-14T18:13:18+12:00,2017-06-14,2017-06-14 06:13:18 UTC,Wellington,496738,ayamccabre,Aya,2017-06-14 06:16:04 UTC,2024-08-04 18:48:05 UTC,research,CC-BY-NC-SA,http://naturewatch.org.nz/observations/6639204,,,"",North Island Kaka in background.,2,0,false,,New Zealand,-41.297258,174.744329,64256,,,,64256,,open,false,,manual,North Island Saddleback,Philesturnus rufusater,Tīeke (North Island Saddleback),Aves,464301
7643217,2017/02/18 11:17 PM +1300,2017-02-18,2017-02-18 10:17:00 UTC,Nuku'alofa,16490,tony_wills,Tony Wills,2017-08-25 11:36:34 UTC,2024-07-27 13:06:53 UTC,research,CC-BY,https://www.inaturalist.org/observations/7643217,,https://static.inaturalist.org/sounds/15162.wav?1503660768,"","Heard inside the sanctuary from the Zealandia outer boundary track, near post 2205. ",1,0,false,,"Karori, Wellington 6012, New Zealand",-41.29643,174.7400316667,,,,,,,open,false,,,North Island Saddleback,Philesturnus rufusater,Tīeke (North Island Saddleback),Aves,464301
7649953,2016/12/04 5:34 PM +1300,2016-12-04,2016-12-04 03:34:00 UTC,Nuku'alofa,16490,tony_wills,Tony Wills,2017-08-25 21:55:34 UTC,2024-08-04 01:28:09 UTC,research,CC-BY,https://www.inaturalist.org/observations/7649953,,https://static.inaturalist.org/sounds/15179.wav?1503697793,"","I had this labeled as Saddleback, but I think it might be a Bellbird - I'm not so familiar with bellbird calls.",1,0,false,,"Karori, Wellington 6012, New Zealand",-41.3151966019,174.7366458175,67,,,,67,,open,false,,,North Island Saddleback,Philesturnus rufusater,Tīeke (North Island Saddleback),Aves,464301
7735509,2015/05/17 3:37 PM +1200,2015-05-17,2015-05-17 03:37:00 UTC,Auckland,16490,tony_wills,Tony Wills,2017-09-01 06:44:41 UTC,2024-08-10 08:22:03 UTC,research,CC-BY,https://www.inaturalist.org/observations/7735509,,https://static.inaturalist.org/sounds/15250.wav?1504247998,"",Two saddlebacks.,1,0,false,,"Karori, Wellington 6012, New Zealand",-41.2958940892,174.7518056629,183,,,,183,,open,false,,,North Island Saddleback,Philesturnus rufusater,Tīeke (North Island Saddleback),Aves,464301
7939660,2017/06/11 9:46 AM +1200,2017-06-11,2017-06-10 21:46:00 UTC,Auckland,16490,tony_wills,Tony Wills,2017-09-16 01:53:20 UTC,2024-10-28 17:23:26 UTC,research,CC-BY,https://www.inaturalist.org/observations/7939660,https://inaturalist-open-data.s3.amazonaws.com/photos/10484176/medium.png,https://static.inaturalist.org/sounds/15480.wav?1505525407,"",,1,0,false,,"Karori, Wellington 6012, New Zealand",-41.2951953572,174.7429418559,122,,,,122,,open,false,,,North Island Saddleback,Philesturnus rufusater,Tīeke (North Island Saddleback),Aves,464301
8553792,2017/10/20 6:50 AM NZDT,2017-10-20,2017-10-19 17:50:00 UTC,Wellington,16490,tony_wills,Tony Wills,2017-10-26 04:00:01 UTC,2024-10-25 12:32:45 UTC,research,CC-BY,https://www.inaturalist.org/observations/8553792,,https://static.inaturalist.org/sounds/16014.wav?1508990310,"",I think there were three birds.,1,0,false,,"Karori, Wellington 6012, New Zealand",-41.2969466667,174.7426466667,,,,,,,open,false,,,North Island Saddleback,Philesturnus rufusater,Tīeke (North Island Saddleback),Aves,464301
9322391,2018/01/01 6:13:50 AM +1300,2018-01-01,2017-12-31 17:13:50 UTC,Nuku'alofa,16490,tony_wills,Tony Wills,2017-12-31 17:38:20 UTC,2024-10-28 12:43:54 UTC,research,CC-BY,https://www.inaturalist.org/observations/9322391,,https://static.inaturalist.org/sounds/16936.wav?1514741791,"",Heralding the new year.,2,0,false,,"Karori, Wellington 6012, New Zealand",-41.2951266053,174.7448600828,2,,,,2,,open,false,,,North Island Saddleback,Philesturnus rufusater,Tīeke (North Island Saddleback),Aves,464301
16647748,2018/09/18 6:48 AM +1200,2018-09-18,2018-09-17 18:48:00 UTC,Auckland,16490,tony_wills,Tony Wills,2018-09-18 02:19:20 UTC,2024-08-04 13:30:21 UTC,research,CC-BY,https://www.inaturalist.org/observations/16647748,,https://static.inaturalist.org/sounds/25939.wav?1537237049,"",Address and reply debate. Outside my back door.,3,0,false,,"Karori, Wellington 6012, New Zealand",-41.2837551,174.7408745,1500,,,,1500,,open,false,,,North Island Saddleback,Philesturnus rufusater,Tīeke (North Island Saddleback),Aves,464301
31508555,2019/08/12 2:25 pM +1200,2019-08-12,2019-08-12 02:25:00 UTC,Wellington,16490,tony_wills,Tony Wills,2019-08-25 22:28:02 UTC,2024-08-03 02:50:46 UTC,research,CC-BY,https://www.inaturalist.org/observations/31508555,,https://static.inaturalist.org/sounds/46036.wav?1566771853,"",,4,0,false,,"Karori, Wellington 6012, New Zealand",-41.2960685637,174.7404638999,8,,,,8,,open,false,,,North Island Saddleback,Philesturnus rufusater,Tīeke (North Island Saddleback),Aves,464301
40831170,2019/11/18 4:06 PM CST,2019-11-18,2019-11-18 22:06:00 UTC,Central Time (US & Canada),462858,intyrely_eco,Spencer McIntyre,2020-03-27 18:51:54 UTC,2024-08-07 10:06:33 UTC,research,CC-BY,https://www.inaturalist.org/observations/40831170,,https://static.inaturalist.org/sounds/64286.mp3?1585335048,"",,3,0,false,,"Army Bay, Whangaparaoa, New Zealand",-36.6047168931,174.8883730627,4,,,,4,,open,false,,,North Island Saddleback,Philesturnus rufusater,Tīeke (North Island Saddleback),Aves,464301
48215486,2020/05/30 8:07 AM NZST,2020-05-30,2020-05-29 20:07:00 UTC,Wellington,16490,tony_wills,Tony Wills,2020-06-02 09:21:34 UTC,2024-08-09 07:28:03 UTC,research,CC-BY,https://www.inaturalist.org/observations/48215486,,https://static.inaturalist.org/sounds/100809.wav?1591089620,"",,3,0,false,,"Karori, Wellington 6012, New Zealand",-41.3000166667,174.7384083333,,,,,,,open,false,,,North Island Saddleback,Philesturnus rufusater,Tīeke (North Island Saddleback),Aves,464301
48950615,2020/05/23 2:51:28 pM NZST,2020-05-23,2020-05-23 02:51:28 UTC,Wellington,16490,tony_wills,Tony Wills,2020-06-08 20:35:04 UTC,2024-08-04 13:55:31 UTC,research,CC-BY,https://www.inaturalist.org/observations/48950615,,https://static.inaturalist.org/sounds/104487.wav?1591648422,"",,3,0,false,,"Karori, Wellington 6012, New Zealand",-41.2946232931,174.7350594709,31,,,,31,,open,false,,,North Island Saddleback,Philesturnus rufusater,Tīeke (North Island Saddleback),Aves,464301
55128757,2020/08/01 4:32 PM NZST,2020-08-01,2020-08-01 04:32:00 UTC,Wellington,16490,tony_wills,Tony Wills,2020-08-02 08:33:10 UTC,2024-08-04 20:14:44 UTC,research,CC-BY,https://www.inaturalist.org/observations/55128757,,https://static.inaturalist.org/sounds/126915.wav?1596357077,"",,2,0,false,,"Wellington, New Zealand",-41.2968441215,174.7388252923,8,,,,8,,open,false,,,North Island Saddleback,Philesturnus rufusater,Tīeke (North Island Saddleback),Aves,464301
