id,observed_on_string,observed_on,time_observed_at,time_zone,user_id,user_login,user_name,created_at,updated_at,quality_grade,license,url,image_url,sound_url,tag_list,description,num_identification_agreements,num_identification_disagreements,captive_cultivated,oauth_application_id,place_guess,latitude,longitude,positional_accuracy,private_place_guess,private_latitude,private_longitude,public_positional_accuracy,geoprivacy,taxon_geoprivacy,coordinates_obscured,positioning_method,positioning_device,species_guess,scientific_name,common_name,iconic_taxon_name,taxon_id
1149117,2014-12-28 19:00,2014-12-28,2014-12-28 06:00:00 UTC,Auckland,59272,grantc,Grant Crawford,2014-12-28 09:41:39 UTC,2024-07-26 11:57:06 UTC,research,CC-BY-NC-SA,http://www.inaturalist.org/observations/1149117,,https://static.inaturalist.org/sounds/2073.m4a?1502826957,"","I've a pretty distinctive bird call making a lot of noise for himself recently. If you can make sense of the recording (my first attempt to add a sound observation), I'd be keen to know what it is please.",2,0,false,,"Wellington, NZ",-41.1374730728,175.1043092158,25,,,,27847,obscured,open,true,,,Tūī,Prosthemadera novaeseelandiae novaeseelandiae,Tūī (Mainland Tūī),Aves,413522
1637154,2015-06-16 2:11:39 PM NZST,2015-06-16,2015-06-16 02:11:39 UTC,Wellington,58459,aunty,Katy Johns,2015-06-16 02:11:03 UTC,2024-07-31 18:18:46 UTC,research,CC-BY-NC,http://naturewatch.org.nz/observations/1637154,https://inaturalist-open-data.s3.amazonaws.com/photos/2008033/medium.jpg,https://static.inaturalist.org/sounds/3539.3gp?1503948206,"","",1,0,false,2,"Auckland, NZ",-36.72614202,174.7515159,11,,,,11,,open,false,gps,gps,Tui,Prosthemadera novaeseelandiae novaeseelandiae,Tūī (Mainland Tūī),Aves,413522
4134743,2016/09/18 10:38 AM NZST,2016-09-18,2016-09-17 22:38:00 UTC,Wellington,247127,zaschf,Frits Schouten,2016-09-17 23:08:00 UTC,2024-08-02 18:26:12 UTC,research,CC-BY-NC,http://naturewatch.org.nz/observations/4134743,https://inaturalist-open-data.s3.amazonaws.com/photos/4920456/medium.jpeg,https://static.inaturalist.org/sounds/8023.mp3?1502906246,"",Looks like our resident Tui is back. I've also made an audio track but the camera auto focus spoiled it for a bit.,2,0,false,,"Opua, New Zealand",-35.3319359286,174.0973749636,5,,,,5,,open,false,,,New Zealand Tūī,Prosthemadera novaeseelandiae novaeseelandiae,Tūī (Mainland Tūī),Aves,413522
4596521,2016/11/18 2:17 PM NZDT,2016-11-18,2016-11-18 01:17:00 UTC,Wellington,247127,zaschf,Frits Schouten,2016-11-19 00:44:29 UTC,2024-10-27 14:32:10 UTC,research,CC-BY-NC,http://naturewatch.org.nz/observations/4596521,https://inaturalist-open-data.s3.amazonaws.com/photos/5555828/medium.jpeg,https://static.inaturalist.org/sounds/9576.mp3?1502909669,"",Tui enjoying the nectar from the flax behind our house.,2,0,false,,"Opua, New Zealand",-35.3320059506,174.0969511746,5,,,,5,,open,false,,,New Zealand Tūī,Prosthemadera novaeseelandiae novaeseelandiae,Tūī (Mainland Tūī),Aves,413522
4641197,2016/11/22 8:28 AM NZDT,2016-11-22,2016-11-21 19:28:00 UTC,Wellington,34560,craigwilson10,craig wilson,2016-11-26 17:18:15 UTC,2024-04-17 05:53:42 UTC,research,CC-BY-NC,http://www.inaturalist.org/observations/4641197,https://inaturalist-open-data.s3.amazonaws.com/photos/5618564/medium.jpg,https://static.inaturalist.org/sounds/9043.mp3?1502908043,"","",1,0,false,,"Mount Cargill, New Zealand",-45.7754367447,170.5768409466,128,,,,128,,open,false,,,Tui,Prosthemadera novaeseelandiae novaeseelandiae,Tūī (Mainland Tūī),Aves,413522
6371389,2017-05-27T08:26:41+12:00,2017-05-27,2017-05-26 20:26:41 UTC,Wellington,359014,bylsand,Brett Sandford,2017-05-26 20:32:48 UTC,2024-08-07 09:42:24 UTC,research,CC-BY,https://www.inaturalist.org/observations/6371389,,https://static.inaturalist.org/sounds/12414.3gp?1503958417,"","",2,0,false,,"Buller, NZ-WC, NZ",-41.750695,171.562051,,,,,,,open,false,,manual,Mainland Tui,Prosthemadera novaeseelandiae novaeseelandiae,Tūī (Mainland Tūī),Aves,413522
7747685,2014/10/27 16:47 PM +1300,2014-10-27,2014-10-27 03:47:00 UTC,Nuku'alofa,16490,tony_wills,Tony Wills,2017-09-02 11:17:55 UTC,2024-08-04 12:16:25 UTC,research,CC-BY,https://www.inaturalist.org/observations/7747685,,https://static.inaturalist.org/sounds/15267.wav?1504350922,"","",1,0,false,,"Karori, Wellington 6012, New Zealand",-41.2938411315,174.7335004802,122,,,,122,,open,false,,,Tūī,Prosthemadera novaeseelandiae novaeseelandiae,Tūī (Mainland Tūī),Aves,413522
7760427,2013/09/18 15:34 PM +1200,2013-09-18,2013-09-18 03:34:00 UTC,Auckland,16490,tony_wills,Tony Wills,2017-09-03 08:22:39 UTC,2024-08-08 17:33:04 UTC,research,CC-BY,https://www.inaturalist.org/observations/7760427,,https://static.inaturalist.org/sounds/15277.wav?1504426663,"",The second and third recording show the noise pollution they have to contend with.,2,0,false,,"Karori, Wellington 6012, New Zealand",-41.2936612372,174.7344785926,35,,,,35,,open,false,,,Tui,Prosthemadera novaeseelandiae novaeseelandiae,Tūī (Mainland Tūī),Aves,413522
7842787,2017/09/09 16:27 PM NZST,2017-09-09,2017-09-09 04:27:00 UTC,Wellington,16490,tony_wills,Tony Wills,2017-09-09 09:51:59 UTC,2024-08-02 19:32:02 UTC,research,CC-BY,https://www.inaturalist.org/observations/7842787,https://inaturalist-open-data.s3.amazonaws.com/photos/10328826/medium.png,https://static.inaturalist.org/sounds/15375.wav?1504949295,"",,1,0,false,,"Karori, Wellington 6012, New Zealand",-41.2906657322,174.7315493412,43,,,,43,,open,false,,,Mainland Tui,Prosthemadera novaeseelandiae novaeseelandiae,Tūī (Mainland Tūī),Aves,413522
7842791,2017/09/09 16:53 PM +1200,2017-09-09,2017-09-09 04:53:00 UTC,Auckland,16490,tony_wills,Tony Wills,2017-09-09 09:52:00 UTC,2024-08-10 19:17:31 UTC,research,CC-BY,https://www.inaturalist.org/observations/7842791,https://inaturalist-open-data.s3.amazonaws.com/photos/10328889/medium.png,https://static.inaturalist.org/sounds/15379.wav?1504949665,"",,2,0,false,,"Karori, Wellington 6012, New Zealand",-41.2906657322,174.7315493412,43,,,,43,,open,false,,,Mainland Tui,Prosthemadera novaeseelandiae novaeseelandiae,Tūī (Mainland Tūī),Aves,413522
