id,observed_on_string,observed_on,time_observed_at,time_zone,user_id,user_login,user_name,created_at,updated_at,quality_grade,license,url,image_url,sound_url,tag_list,description,num_identification_agreements,num_identification_disagreements,captive_cultivated,oauth_application_id,place_guess,latitude,longitude,positional_accuracy,private_place_guess,private_latitude,private_longitude,public_positional_accuracy,geoprivacy,taxon_geoprivacy,coordinates_obscured,positioning_method,positioning_device,species_guess,scientific_name,common_name,iconic_taxon_name,taxon_id
35482105,2019/11/09 12:18 PM NZDT,2019-11-09,2019-11-08 23:18:00 UTC,Auckland,58314,jacqui-nz,Jacqui Geux,2019-11-09 08:58:37 UTC,2024-10-25 19:03:31 UTC,research,CC-BY,https://www.inaturalist.org/observations/35482105,https://inaturalist-open-data.s3.amazonaws.com/photos/55952208/medium.jpeg,https://static.inaturalist.org/sounds/50093.mp3?1573289813,Ataahua and Kapua,Pair dueting at their territory. Short video in the video link field.,5,0,false,,"Henderson Valley, Auckland, New Zealand",-36.9188065782,174.5415207004,82,,,,82,,open,false,,,North Island Kokako,Callaeas wilsoni,North Island Kōkako,Aves,507465
36459073,2019-12-08 7:01:57 PM GMT+13:00,2019-12-08,2019-12-08 06:01:57 UTC,Nuku'alofa,65074,hewittj,Justin,2019-12-08 06:03:12 UTC,2024-08-03 14:25:29 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/36459073,,https://static.inaturalist.org/sounds/52149.wav?1575784999,,,3,0,false,2,"Hikuai 3579, New Zealand",-37.07663762,175.76771031,11,,,,11,,open,false,,,North Island Kokako,Callaeas wilsoni,North Island Kōkako,Aves,507465
55360136,2020-08-04 11:06:00 AM GMT+12:00,2020-08-04,2020-08-03 23:06:00 UTC,Auckland,305500,berend,Berend de Boer,2020-08-04 04:50:11 UTC,2024-08-09 03:10:09 UTC,research,CC0,https://www.inaturalist.org/observations/55360136,,https://static.inaturalist.org/sounds/127439.wav?1596516626,,,2,0,false,2,"Waikato, NZ",-37.04291454,175.19607874,7,,,,7,,open,false,,,North Island Kokako,Callaeas wilsoni,North Island Kōkako,Aves,507465
66116778,2020-12-05 11:34:38 AM GMT+13:00,2020-12-05,2020-12-04 22:34:38 UTC,Nuku'alofa,2834463,davidhodge931,Dave H,2020-12-05 02:06:20 UTC,2024-10-26 14:57:50 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/66116778,,https://static.inaturalist.org/sounds/152397.m4a?1607133987,,,2,0,false,2,"Wellington 5032, New Zealand",-40.8484075843,174.9170020223,4,,,,4,,open,false,gps,gps,North Island Kōkako,Callaeas wilsoni,North Island Kōkako,Aves,507465
66801949,2020-12-20 1:39:30 PM GMT+13:00,2020-12-20,2020-12-20 00:39:30 UTC,Nuku'alofa,1597471,nic_charlton,Nic Charlton,2020-12-20 00:52:34 UTC,2024-10-25 18:11:32 UTC,research,CC-BY,https://www.inaturalist.org/observations/66801949,,https://static.inaturalist.org/sounds/154328.wav?1608425565,,,2,0,false,2,"Auckland, NZ",-36.6040223,174.8934678888,6,,,,6,,open,false,,,North Island Kōkako,Callaeas wilsoni,North Island Kōkako,Aves,507465
107745218,2022/03/02 11:55 AM NZDT,2022-03-02,2022-03-01 22:55:00 UTC,Auckland,3445797,tramperjames,James Lennox,2022-03-02 04:06:44 UTC,2024-08-09 13:27:54 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/107745218,,https://static.inaturalist.org/sounds/364127.mp3?1646193906,,"Unfortunately it stopped calling shortly after I started recording, so this was all I could get.",1,0,false,,"Maungatautari, New Zealand",-38.0347304459,175.5659081628,31,,,,31,,open,false,,,North Island Kōkako,Callaeas wilsoni,North Island Kōkako,Aves,507465
108895605,2022-03-19 07:12:34+13:00,2022-03-19,2022-03-18 18:12:34 UTC,Nuku'alofa,5004973,greghadley1,,2022-03-18 20:20:39 UTC,2022-05-18 02:40:05 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/108895605,,https://static.inaturalist.org/sounds/373659.m4a?1647634847,,"A couple of recordings. Had one in quite close but didn’t get a photo. 
(Also has Kākā and Kererū wing beats). ",1,0,false,3,"Otorohanga, Wharepuhunga, Waikato, NZ",-38.4721055394,175.5728173816,8,,,,8,,open,false,,,North Island Kōkako,Callaeas wilsoni,North Island Kōkako,Aves,507465
109616640,Sun Mar 27 2022 11:51:39 GMT+1300 (GMT+13),2022-03-27,2022-03-26 22:51:39 UTC,Nuku'alofa,5004973,greghadley1,,2022-03-27 04:29:36 UTC,2024-07-27 11:52:06 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/109616640,,https://static.inaturalist.org/sounds/379547.m4a?1648355379,,,1,0,false,3,"Waikato, NZ",-38.4505790519,175.5327335281,19,,,,19,,open,false,,,North Island Kōkako,Callaeas wilsoni,North Island Kōkako,Aves,507465
113938617,2022/04/30 10:59 AM,2022-04-30,2022-04-29 22:59:00 UTC,Wellington,4005645,h_rogers,Hannah Rogers,2022-04-30 20:00:01 UTC,2024-10-26 12:22:51 UTC,research,CC0,https://www.inaturalist.org/observations/113938617,,https://static.inaturalist.org/sounds/413353.m4a?1651346970,,,1,0,false,,"Maungatautari, New Zealand",-38.0122968878,175.5760625656,122,,,,122,,open,false,,,North Island Kōkako,Callaeas wilsoni,North Island Kōkako,Aves,507465
116933649,2022-05-14 11:00:00,2022-05-14,2022-05-13 23:00:00 UTC,Wellington,1374044,iansfinds,Ian Simpson,2022-05-14 06:22:30 UTC,2024-08-09 09:30:51 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/116933649,,https://static.inaturalist.org/sounds/437406.wav?1652509354,,Heard at 11am on sunny morning.,1,0,false,2,"Pikowai, New Zealand",-37.9600152402,176.5452229232,680,,,,680,,open,false,gps,gps,North Island Kōkako,Callaeas wilsoni,North Island Kōkako,Aves,507465
